Season,Team,W,L,SV,IP,K/9,BB/9,HR/9,P_BABIP,LOB%,GB%,ERA,FIP,xFIP,P_WAR,P_Age,P_BB,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SIERA,CStr%,CSW%,HR,R,RBI,B_BB,SB,BB%,K%,ISO,BABIP3,AVG,OBP,SLG,wOBA,wRC+,B_WAR,B_Age,SO,BB/K,Win_Percentage,DRS,UZR,FRM,E
2000,ARI,85,77,38,1443.2,7.61,3.12,1.18,0.297,0.716,,4.36,4.28,,22.1,30,500,,,,,,,,,,,,,,179,792,756,535,97,0.086,0.156,0.164,0.29,0.265,0.333,0.429,0.332,88,15.6,30,975,0.55,0.524691358,,,,107
2001,ARI,92,70,34,1459.2,8,2.84,1.2,0.284,0.747,,3.88,4.08,,21.8,31,461,,,,,,,,,,,,,,208,818,776,587,71,0.092,0.166,0.175,0.294,0.267,0.341,0.442,0.336,97,26,29,1052,0.56,0.567901235,,,,84
2002,ARI,98,64,40,1446.2,8.11,2.62,1.06,0.289,0.727,0.436,3.93,3.67,3.56,26.4,32,421,0.61,89.5,0.216,82.5,,,0.059,75.7,0.065,79.2,3.47,0.168,0.279,165,819,783,643,92,0.102,0.161,0.156,0.298,0.267,0.346,0.423,0.335,97,22.1,31,1016,0.63,0.604938272,0,-0.7,,89
2003,ARI,84,78,42,1455,7.99,3.25,0.93,0.293,0.731,0.473,3.84,3.83,3.81,24.6,28,526,0.634,89.8,0.165,81.9,,,0.057,75,0.103,80.2,3.75,0.168,0.284,152,717,696,531,76,0.085,0.161,0.153,0.295,0.263,0.33,0.417,0.323,86,7.7,30,1006,0.53,0.518518519,-41,-44.5,,108
2004,ARI,51,111,33,1436,7.23,4.19,1.23,0.297,0.68,0.461,4.98,4.78,4.43,10.6,29,668,0.564,89.4,0.175,82.8,0.001,82,0.08,75.3,0.093,81.1,4.44,0.168,0.267,135,615,582,441,53,0.072,0.167,0.14,0.286,0.253,0.31,0.393,0.305,74,-0.4,29,1022,0.43,0.314814815,-7,-35.7,,139
2005,ARI,77,85,45,1456.1,6.41,3.32,1.19,0.303,0.693,0.454,4.87,4.55,4.25,11.9,28,537,0.66,89.7,0.109,81.5,0.007,86.1,0.099,75.8,0.119,81.2,4.24,0.17,0.257,191,696,670,606,67,0.096,0.173,0.165,0.285,0.256,0.332,0.421,0.328,91,12.4,29,1094,0.55,0.475308642,-12,-44,,94
2006,ARI,76,86,34,1459.2,6.87,3.3,1.04,0.299,0.704,0.468,4.49,4.34,4.3,19,29,536,0.631,90.8,0.156,82.6,0.045,88.8,0.075,74.2,0.075,82.2,4.3,0.174,0.262,160,773,743,504,76,0.08,0.152,0.157,0.294,0.267,0.331,0.424,0.326,87,10.8,29,965,0.52,0.469135802,5,-27.7,,104
2007,ARI,90,72,51,1441,6.8,3.41,1.06,0.293,0.727,0.439,4.13,4.52,4.42,16,28,546,0.615,89.2,0.137,81.9,0.045,81.8,0.095,72.3,0.094,79.7,4.37,0.175,0.258,171,712,687,532,109,0.087,0.182,0.163,0.282,0.25,0.321,0.413,0.32,82,10,28,1111,0.48,0.555555556,36,-3.2,,106
2008,ARI,82,80,39,1434.2,7.71,2.83,0.92,0.297,0.709,0.453,3.99,3.84,3.87,22.9,27,451,0.59,90.4,0.146,83.7,0.056,83.6,0.098,75.9,0.067,79.8,3.77,0.175,0.272,159,720,683,587,58,0.095,0.209,0.164,0.299,0.251,0.327,0.415,0.324,88,9.5,28,1287,0.46,0.50617284,-32,-56.5,6.3,113
2009,ARI,70,92,36,1447.2,7.2,3.26,1.04,0.298,0.698,0.432,4.44,4.2,4.17,13.5,27,525,0.539,90.8,0.108,83.4,0.119,84.4,0.1,75.4,0.115,81.3,4.11,0.176,0.269,173,720,686,571,102,0.091,0.207,0.165,0.299,0.253,0.324,0.418,0.324,89,17.5,28,1298,0.44,0.432098765,-12,5.4,18.8,124
2010,ARI,65,97,35,1432,6.72,3.44,1.32,0.296,0.701,0.418,4.81,4.76,4.35,2.7,28,548,0.586,91.1,0.129,83.1,0.053,87.5,0.081,77.1,0.134,82.3,4.25,0.178,0.261,180,713,691,589,86,0.095,0.247,0.166,0.312,0.25,0.325,0.416,0.325,93,21.8,28,1529,0.39,0.401234568,15,53.7,7.7,102
2011,ARI,94,68,58,1443.1,6.6,2.76,0.99,0.286,0.739,0.419,3.8,4.02,4.05,11.8,27,442,0.6,90.5,0.108,82.6,0.069,88.3,0.06,76.6,0.155,80.8,3.98,0.17,0.257,172,731,702,531,133,0.087,0.205,0.163,0.294,0.25,0.322,0.413,0.322,97,30.5,29,1249,0.43,0.580246914,57,60.6,18.4,90
2012,ARI,81,81,39,1433.2,7.53,2.62,0.97,0.301,0.72,0.461,3.94,3.81,3.84,15.3,27,417,0.651,90.2,0.081,82,0.062,89.6,0.066,77.6,0.13,80.3,3.79,0.169,0.262,165,734,710,539,93,0.088,0.206,0.159,0.307,0.259,0.328,0.418,0.323,97,21.7,29,1266,0.43,0.5,32,-1.2,10.9,90
2013,ARI,81,81,38,1495,7.33,2.92,1.06,0.292,0.745,0.46,3.92,4.04,3.83,8.5,27,485,0.637,90.6,0.103,81.9,0.036,89,0.091,78.9,0.125,81,3.8,0.172,0.264,130,685,647,519,62,0.082,0.18,0.133,0.301,0.259,0.323,0.391,0.314,93,19.4,28,1142,0.45,0.5,69,23.8,8.6,75
2014,ARI,64,98,35,1444.1,7.96,2.92,0.96,0.312,0.703,0.461,4.26,3.83,3.63,8.2,28,469,0.626,90,0.127,82.1,0.008,90.1,0.108,77.9,0.128,81.1,3.59,0.174,0.273,118,615,573,398,86,0.065,0.191,0.127,0.293,0.248,0.302,0.376,0.3,83,13,28,1165,0.34,0.395061728,17,-4,20.5,101
2015,ARI,79,83,44,1466.2,7.46,3.07,1.12,0.294,0.737,0.457,4.05,4.21,4.09,10.6,26,500,0.617,91.6,0.15,83.2,0.013,89.3,0.063,78,0.155,82,4.03,0.158,0.257,154,720,680,490,132,0.078,0.209,0.15,0.316,0.264,0.324,0.414,0.319,95,21.6,27,1312,0.37,0.487654321,60,17.1,-14.5,86
2016,ARI,69,93,31,1451.1,8.17,3.74,1.25,0.32,0.687,0.46,5.09,4.5,4.34,10.1,26,603,0.604,92.4,0.149,83.7,0.043,89.2,0.086,79.3,0.111,84.3,4.3,0.161,0.261,190,752,709,463,137,0.074,0.228,0.171,0.315,0.261,0.32,0.432,0.321,93,16.6,27,1427,0.32,0.425925926,-24,-24.5,-11.8,101
2017,ARI,93,69,43,1441,9.26,3.22,1.07,0.294,0.742,0.481,3.67,3.8,3.86,22.9,28,516,0.551,93.4,0.168,83.7,0.039,89.1,0.128,80,0.113,85.7,3.92,0.17,0.284,220,812,776,578,103,0.093,0.234,0.19,0.306,0.254,0.329,0.445,0.329,95,21.1,28,1456,0.4,0.574074074,17,-21.7,3.5,108
2018,ARI,82,80,39,1463,8.91,3.21,1.07,0.289,0.757,0.473,3.73,3.91,3.81,12.5,29,522,0.519,91.6,0.149,82.4,0.063,88.2,0.135,78.7,0.112,83.7,3.85,0.177,0.29,176,693,658,560,79,0.091,0.237,0.162,0.286,0.235,0.31,0.397,0.306,88,18.3,29,1460,0.38,0.50617284,123,12.7,27.6,75
2019,ARI,85,77,45,1465,8.77,3.17,1.35,0.295,0.74,0.431,4.25,4.4,4.42,13.4,28,516,0.509,92,0.163,83.4,0.051,88.8,0.141,79.9,0.114,85.6,4.39,0.166,0.276,220,813,778,540,88,0.086,0.215,0.182,0.293,0.252,0.323,0.434,0.319,93,23.1,28,1360,0.4,0.524691358,91,21,5.1,86
2020,ARI,25,35,13,518.1,9.1,4.08,1.61,0.294,0.74,0.384,4.84,5,4.87,1.4,28,235,0.503,93.3,0.183,84.2,0.068,88.2,0.127,80.5,0.11,85.6,4.59,0.176,0.281,58,269,255,181,23,0.081,0.206,0.15,0.282,0.241,0.312,0.391,0.306,87,5.2,28,461,0.39,0.416666667,-2,6.5,4.6,35
2021,ARI,52,110,22,1417.1,7.86,3.52,1.47,0.299,0.682,0.402,5.15,4.88,4.85,4,28,555,0.532,92.2,0.175,84,0.055,88.3,0.091,79.1,0.141,84.9,4.64,0.167,0.262,144,679,644,537,43,0.087,0.238,0.146,0.295,0.236,0.309,0.382,0.301,84,10.2,28,1465,0.37,0.320987654,-37,-4.4,-2.6,100
2000,ATL,95,67,53,1440.1,6.83,3.02,1.03,0.288,0.719,,4.06,4.19,,22.3,30,484,,,,,,,,,,,,,,179,810,758,595,148,0.095,0.161,0.157,0.302,0.271,0.346,0.429,0.339,96,24.5,30,1010,0.59,0.586419753,,,,129
2001,ATL,88,74,41,1447.1,7.05,3.1,0.95,0.283,0.745,,3.59,3.96,,21.1,29,499,,,,,,,,,,,,,,174,729,696,493,85,0.08,0.169,0.152,0.29,0.26,0.324,0.412,0.317,89,20.9,30,1039,0.47,0.543209877,,,,103
2002,ATL,101,59,57,1467.1,6.49,3.4,0.75,0.271,0.772,0.457,3.13,3.83,4.11,19.8,29,554,0.67,89.4,0.116,82.9,,,0.049,74.7,0.16,80.5,4.14,0.167,0.266,164,708,669,558,76,0.09,0.165,0.15,0.29,0.26,0.331,0.409,0.322,94,20.5,29,1028,0.54,0.63125,0,25.4,,113
